,KS113days,KS117days,KS1115days,KS1130days,KQ113days,KQ117days,KQ1115days,KQ1130days,IXIC3days,IXIC7days,IXIC15days,IXIC30days,TWII3days,TWII7days,TWII15days,TWII30days
2021-07-07,-2.6400743069275543,-0.5745474568938203,-2.1989525627721034,-4.904983344477352,-1.5340300107181108,0.8947710917164207,0.15215893431326732,-3.2451002909202344,0.26105387202632263,-0.8218286864652993,-0.020867942748181836,-0.05087413493511248,-1.4045052020675415,0.676154338703522,-3.5906742953608775,-6.987691110457332
2021-07-08,-1.183134774483017,-0.256594446845693,-1.4756463562371023,-3.8476991726883765,-1.21448212648944,0.44110907424382434,-1.1151848457072866,-2.5091659028414166,0.4649145656410563,-1.6216776474150103,0.6649819366576096,-0.948853942636441,-0.20368960527574537,0.24962620492541918,-4.008080359918846,-5.7388257820846045
2021-07-09,0.5749105353124278,-0.26562711364167,-0.3083611053039262,-4.7606896466913415,0.8535689428505072,1.483837290232765,0.9328358208955312,-4.188577836207568,0.8094896973101862,-1.9561408509326115,1.5005024110924632,-0.12362815672478791,-0.10393992194150879,-0.43008850845372515,-2.593068768824062,-8.34368348082877
2021-07-12,1.4562065911527566,0.45836635124846564,-0.4857129538992109,-4.892555819698864,1.5598728776495925,1.4296405003255843,0.2147862342433437,-5.931404468719941,-0.3875004081099567,-1.3810441085246068,-0.19888558773275725,0.08665534841707602,1.0433440459123497,-0.7515791428577784,-2.344480756992051,-7.4712877969456635
2021-07-13,1.224406817250737,-0.9413301216398101,-0.7217069617153351,-4.8132279060025125,1.901144359390691,0.7142580994355401,0.30542024278974855,-4.007190906982153,-1.2903475406631575,-0.687493042942347,-0.3540972657745348,1.4213438456171206,1.2341749591480393,-1.9958089919744433,-1.74606622870466,-6.020377976606482
2021-07-14,0.1690418111011177,-0.6471275119368607,-1.0466530944127628,-4.068007996625275,0.8310090002012894,0.6651905953168334,-0.690111280443976,-2.88792401108012,-1.706063300323961,0.04735090426601485,0.5698459903322484,2.33109523663529,0.2674321138174915,-1.5418948963217225,-1.6459429657453923,-5.764330282302533
2021-07-15,-0.6361779092810909,-0.31824210290950694,0.47690370955737593,-3.6142991475767348,0.4641237152864083,1.0067178319202263,0.28230205362782496,-2.6029206300599097,-2.526263319437766,1.3113052622234902,0.925779876339625,2.710217515252697,-0.31660199207094125,-1.5288233893223975,-1.2432091674488357,-4.482243671462389
2021-07-16,-1.6286188995258986,-1.8644521669273508,-0.3070396991071715,-4.798522314391599,-1.0120363081067092,-0.6335897411577085,0.4960590338704952,-3.212527624702402,-0.30426737572998386,2.046189506660533,2.4203180470779095,2.768867499637288,-2.802731921977073,-3.4968579126647628,-2.3902931043756315,-5.363312685515677
2021-07-19,-1.861509775977979,-1.3543246534082307,-0.19988342676484028,-4.364172345288695,-0.9458354721572696,-0.5161695089260313,0.7433601399266085,-2.7063252153082784,1.4189131115861449,1.6173571660275987,2.8315880237661566,4.867597683271368,-2.4389712353836863,-3.4946703734231206,-2.061832050404443,-3.829619591791116
2021-07-20,0.19019494210922408,-0.2213289601854427,0.5049259565233508,-3.077952183080354,0.04000647723917899,-1.3478372688911409,0.9687282702913875,-1.7136107750778709,2.8694961393991503,3.415766607028524,4.0994803495346455,6.9415859076510085,-1.2193881136079276,-3.6765462287617456,-1.7094593645038354,-2.2076816054639714
2021-07-21,0.6718841834998687,0.3077922479661049,0.32449655087079643,-1.0341200853775432,1.1364071902188397,0.046951055919666654,0.8077497987811731,-0.5087961365988437,2.331973228276947,1.926907457679497,1.994705797965091,5.244267143393149,0.2520432158842943,-0.7184201488526858,-1.170078396964084,-0.21935404370194733
2021-07-22,0.2811023940346578,-0.4225864529790849,0.14645932255566968,-0.27643808439912415,0.5374125505023979,-1.0450754776733753,0.9491089507979713,0.3790677811579365,1.4267407966812242,0.27836344438027444,0.9101999391741938,4.629799855795013,-0.31634494715842026,-1.2107368265498413,-1.3266096905913902,0.08706216181075965
2021-07-23,-0.5439648515018979,-0.8359459850286619,-1.286993763479896,-2.2878521695521252,-0.35229707212568867,-1.1854320399904827,0.3656272316115133,-0.29135920019042566,-0.1635727224439238,-0.024038788935351694,0.8965855385914486,4.403116189749805,-1.721228772735333,-0.39294732115776854,-2.005368667672432,-1.4373165083970272
2021-07-26,-0.5395738718419856,-0.5309701882363125,-2.5543722076437616,-1.6396162757111907,-1.8777830412126895,-1.8370440549502698,-1.3945997157745171,-0.15632401705353774,-0.5015168170902579,-0.5102113029664299,-0.09496535348477114,3.5487656189024905,-2.490764198550936,-0.10903139603435202,-3.3620479692617833,-0.31867213872253447
2021-07-27,0.5488457185382805,1.718786337772688,-2.101117846788315,-0.6703979906665186,-0.33408741635882894,0.028636064259323853,-2.07277378463772,0.508767408340724,-0.42080196971707495,-0.40550620556562644,-0.3163595272732835,3.559229982932085,-0.004309463121338393,1.2660053460326397,-3.130336551831929,0.5271335290021005
2021-07-28,-0.9345620922311636,1.3487887196715855,-2.766873006592361,-1.3955013565226038,-1.47245712101666,1.2412211552243095,-3.392097845301228,0.7529501696049028,0.08253425171446398,1.599800280752882,-0.030012455168892612,4.868497699272471,-0.13005309246681723,1.92966131186859,-3.52353549853009,0.920678615415171
2021-07-29,-0.4269569891808779,1.0349536278986426,-2.407580185735567,-2.282149984861883,0.20469643133013005,2.3289046809825322,-1.4097018384056872,0.14869457747566464,-0.5521392602106151,0.4957128090076416,-1.6031750547668502,3.5499214906879386,2.1479735889005083,2.2822000534571347,-1.8030115749899953,0.789426689590215
2021-07-30,-0.16992274836939597,0.5480085732348536,-4.466100257505441,-3.9458467611367327,-0.7681035886336192,1.5199256797525107,-5.074080813691794,-0.9108061256740269,-0.114830839354561,0.5543277760710671,-1.6001207178652923,3.180279681099127,0.8673886573489975,0.4731419810938586,-5.903701758509124,-0.5658856242181552
2021-08-02,2.4376077343925635,1.2762622098978205,-4.4283519448399895,-2.390766694146742,1.6282948969102122,2.0297922687510748,-6.133017824931641,0.6565548810054872,0.7350395428783314,0.7865638724486587,0.2861099676405371,3.0179217429944596,2.1828204930479393,0.4419794044439111,-5.249889693582975,1.3170673161941406
